y,x1,x2
10000,60,35
20000,67,39
30000,59,57
10000,57,46
40000,95,84
50000,96,89
60000,88,91
75000,80,88
100000,85,90
23000,88,91
14000,77,47
10000,83,61
20000,48,45
30000,58,46
10000,53,65
40000,53,52
50000,55,61
60000,73,83
75000,76,81
100000,73,76
23000,70,86
14000,81,88
10000,70,69
20000,70,66
30000,64,83
10000,72,70
40000,65,67
50000,65,65
60000,80,91
75000,82,92
100000,76,73
23000,81,85
14000,75,91
10000,68,79
20000,47,69
30000,59,62
10000,88,86
40000,75,77
50000,85,81
60000,64,77
75000,86,82
100000,82,76
23000,79,77
14000,51,65
10000,62,73
20000,57,53
30000,88,88
10000,72,82
40000,72,73
50000,86,75
